Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
ZERO 10X Electric Scooter / 52V 23AH LG,ZERO-10X-52V23-LG,"F10X523L210519039, F10X523L210519004, F10X523L210531048, F10x523l210531047, F10X523L210519020, F10X523L210531032, F10X523L210519038, F10X523L210519017, F10X523L210531039, F10X523L210531026, F10X523L210531013, F10X52L210531016, F10X523L210531026, F10X523L210531013, F10X523L210519019, F10X523L210531014, F10X523L210531019, F10X523L210531043, F10X523L210519016, F10X523L210519010, F10X523L210519012, F10X523L210531045, F10X523L210519009, F10X523L210531040, F10X523L210531038, F10X523L210519013, F10X523L210531022, F10X523L210519040, F1OX523L210519037, F10X523L210531046, F10X523L210519025, F10X523L210531030, F10X518210519022, pre order, just taking deposit, F10X523L210531049, F10X52L210531041, F10X523L210519027, F10X523L210531036, F10X523L210531017, F10X523L210519029, F10X523L201005064, TO BE ADVISED, TBA, F10X5231210531024, F10X523L210805007, F10X523L210805037, F10X523L210805042, F10X523L210805022, F10X523L210805040, F10X523L210805002, F10X523L210805030, F10X523L210805029, F10X523L210805018, F10X523L210805013, F10X523L210805032, F10X523L210805039, F10X523L210805047, F10X523L210805014, F10X523L210805006, F10X523L210805031, F10X523L210805004, F10X523L210805016, F10X523L210805017, F10X523L210805023, F10X, F10X523L210805028, F10X523L201113003, F10X523L210805033, F10X23L210805005, F10X523L210805001, F10X523L210805034, F10X523L210805021, F10X523L210805038, F10X523L210805008, F10X0000000000, SN, F10X523L210805010, F10X518210805024, F10X523L210805019, F10X523L210805050, F10X523L210805009, F10X523L210519012, F10X523L210519012, F10X523L210805036, CUSTOMER, F10X523L210805043, F10X523L210805026, F10X523L210805045, F10X523L210805012, F10X52L210805048, F10X523L210805300, F10X23L211022050, F10X523L211022010, F10X523L211022029, F10X523L211022007, F10X523L211022004, F10X523L211022035, F10X523L211022037, F10X523L211022019, F10X523L211022023, F10X523L211022036, F10X523L211022001, F10X523L211022012, F10X523L211022018, F10X523L211022028, F10X523L211022030, F10X523L211022039, F10X523L211022017, F10X523L211022045, F10X523L211022016, f10x523l21085008, F10X523L211022034, F10X523L211022050, F10X523L211022021, F10X523L211022026, F10X523L211022031, 523L11022009, F10X523L211022032, F10X523L211022042, F10X523L211022002, 1, F10X523L211022011, F10X523L211022025, F10X523L211022040, tb5, tb4, tb3, tb2, tb1, F10X523L211022024, F10X523L211022027, F10X523L211022006, F10X523L21102020, F10X523L211022041, F10X523L211022046, F10X523L211022043, F10X523L211022017, TBA1, TBA, F10X523L211022046, F10X523L211022022, F10X523L211022005, TBA, F10X523L211215035, F10X23L211215034, F10X523L211215004, F10X523L211215005, F10X523L211215026, F10X523L211215012, F10X523L211215010, F10X523L211215014, F10X523L211215031, F10X523L211215011, F10X523L211215003, F10X523L211215001, F10X523L211215009, F10X523L211215049, F10X523L211022022, F10X523L211215033, F10X523L21122013, F10X523l211215017, F10X523L11215018, F10X523l211215038",1FB9F736,Zero,Falcon PEV Pte Ltd,159,"$381,756.35","$347,051.22","$5,115.35",$0.00,$0.70,"$286,399.56","$60,651.66",17.48
ZERO 10 Electric Scooter / 52V 18.2AH,ZERO-10-52V18,"F10518210417014, F10518210417002, F10518201223061, F10518210417026, F10518210417013, F10518210417005, F10518210417004, F10518210417021, f10518210417029, F10518210417006, F10518210417023, F10518210417022, REDUCE FROM $1,999, REDUCED FROM $1,999, F10518210417006, F10518210417023, zero 10, F10518210417006, F10518210417023, F10518201104091, F10518201104115, F10518210417003, F10518210417004, F10518201223070, F10518202003094, F10518210417018, F10518201223037, F10518210417017, F10518201223001, F10518201223005, 18AH, F105182100417016, F105182100417017, F10518201223022, TBA Pre Order 1, F10518210417002, Pre order 2, F10518211022071, F10518211022043, F10518211022055, SN, F10518211022056, F10518211022013, F10518211022002, F10518211022070, F10518211022068, F10518211022005, F10518211022065, F10518211022046, F10518211022019, F10518211022033, F10518211022011, F10518211022029, F10518211022049, F10518211022001, F10518211022012, F10518211022036, F10518211022040, F10518211022061, F10518211022034, F10518211022051, F10518211022073, F10518211022038, F10518211022010, F10518211022017, F10518211022009, F10518211022059, F10518211022054, F10518211022053, F10518211022062, F10518211022015, F10518211022057, F10518211022031, F10518211022020, SN, F10518211022004, F10518211022074, F10518211022026, F10518211022027, F10518211022052, F10518211022044, F10518211022025, F10518211022064, F10518211022048, F10518211022032, F10518211022023, F10518211022075, TBA, F10518211022072, F10518211022045, F10518211022058, F10518211022066, F10518211022016, tba, F10518211022039, F10518211022063, F10518211022047, F10518211022037, F10518211022042, F10518211022008, F10518211022024, F10518211022006, F10518201223037, F10518211022008, F10518211022003, F10518211022028, F10518211022069, F10518211022055, TBA, F105182115051, F105182115052, F105182115036, F105182115056, F10518212215031, F10518212215040, F10518212215079, F10518212215073, F10518212215059, F10518211215042, F10518211215039, F10518211215058, F10518211215084, F10518211215053, F10518211215050, F10518211215080, F10518211215072, F10518211215060, F10518211215032, F10518211215071, F10518211215041, F10518211215026, F10518211215047, F10518211215066, F10518211215081, F10518211215035, F10518211215049, F10518211215082, F10518211215046, F10518211215034, F10518211215037, F10518211215076, F10518211215048, F10518211215085, F10518211215067, F10518211215029, F10518211215062, F10518211215065, F10518211215043, F10518211215077, F10518L211215018, F10518211215074, F10518211215075, F10518211215064, F10518211215045, F10518L211215002, F10518L211215011, F10518211215027, F10518211215028, F10518211215070, F10518211215045, tba, F10518211215068",CB3DB9A5,Zero,Falcon PEV Pte Ltd,158,"$228,478.84","$207,708.03","$3,582.66",$0.00,$450.75,"$151,663.87","$56,044.16",26.98
ZERO Rugged Folding Clamp,ZER-FOL-CLP,,2D92BC25,Zero,Falcon PEV Pte Ltd,147,"$10,351.53","$9,410.50",$222.90,$0.00,$0.00,"$6,258.99","$3,151.51",33.49
ZERO Front Pouch,ZER-POUCH,,E0930F50,Zero,Falcon PEV Pte Ltd,147,"$4,286.78","$3,897.08",$964.71,$0.00,$0.00,"$2,149.50","$1,747.58",44.84
Smartmotion G3 ECity 26 250W 36V / White,SMB-G3-ECITY-26-WH,"j26210286, J26210071, J26210238, J26210179, G3242114, G3242160, G3242162, J26210235, J26210222, J26210171, J26210132, J26210228, J26210212, J26210232, J26210216, J26210173, J26210015, J26210188, J26210185, J26210183, J26210168, G3242151, G3242096, G3242127, G3242136, G3242107, G3242148, G3242104, G3242108, G3242094, G3242115, G3242143, G3242135, J26210084, J26210013, J26210038, G3242086, J26210220, G3242182, J26210082, J26210112, J26210017, G3242183, J26210229, JANUARY 2, JANUARY, DECEMBER 3, DECEMBER 2, DECEMBER, G3242126, JG32621069, G3242178, J26210150, J26210207, G26, J2621127, 1., 2., 3., 4., 5., 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 3, JG32621055, JG32621005, J26210006, G3242125, JG32621115, JG32621131, JG32621014, JG3261001, G3242177, G3242105, G3242164, TBA, TBA1, TBAS2, TBA3, WJ26210022, WJ26210201, WJ26210081, WJ26210113, WJ26210283, WJ26210060, JG32621105, WJ26210289, WJ26210256, WJ26210210, JG32421056, WJ26210291, WJ26210245, JG32621003, JG32621008, WJ26210194, WJ26210099, WJ26210290, JG32621123, JG32621119, JG32421010, JG3242106, JG32621032, J26210023, JG32421039, JG32621009, JG32621010, JG32621046, WJ26210250, WJ26210236, WJ26210231, WJ26210048, WJ26210167, WJ26210264, 2, WJ26210040, WJ26210292, J26210123, WJ26210327, WJ26210148, WJ26210207, J26210136, JG32421038, WJ26210054, JG32421011, WJ26210030, WJ26210045, G3242103, JG326621013, JG32421032",6FB9B038,Smartmotion,"Kunshan Cyclisport Co., Ltd",143,"$217,209.44","$197,613.03","$28,784.46",$0.00,$0.00,"$172,008.80","$25,604.23",12.96
"ZERO Inner Tubes E-Scooters / 11""-90/65-6.5"" Bent Valve","ZER-INNER-TUBE-11""-BNT",,EC388395,Zero,Falcon PEV Pte Ltd,135,"$2,572.04","$2,338.21",$36.31,$0.00,$5.37,"$1,483.70",$854.51,36.55
ZERO Helmet,ZER-HELMET,,9A6F7012,Zero,Falcon PEV Pte Ltd,133,"$6,275.58","$5,705.07","$3,743.41",$0.00,$0.00,"$5,905.50",-$200.43,-3.51
VSETT 9+ Electric Scooter / 48V 21 LG,VSETT-9+-21-LG,"SN-, SN, preorder, V948V6121100056, V948V6121100073, V948V6121100062, V948V6121100071, V948V6121100065, V948V6121100078, V948V6121100080, V948V6121100075, pre order, V9P48V6121100083, V9P48V6121100055, V9P48V6121100074, V9P48V6121100052, V9P48V6121100088, V9P48V6121100063, V9P48V6121100042, VP948V6121100050, VP948V6121100043, VP948V6121100041, VP948V6121100046, VP948V6121100072, VP948V6121100085, VP948V6121100054, VP948V6121100049, VP948V6121100044, VP948V6121100057, V9P48V6121100047, V9P48V6121100045, V9P48V6121100061, V9P48V6121100067, V9P48V6121100048, V9P48V6121100069, V9P48V61211100051, V9P48V61211100070, V9P48V61211100079, V9P48V61211100060, V9P48V6121100077, V9P48V6121100081, V9P48V6121100059, V9P48V6121100086, V9P48V6121100084, V9P48V6121100082, V9P48V612100068, V9P48V6121100076, V9P48V6121100053, V9P48V6121100066, V9P48V6121120063, V9P48V6121120082, V9P48V6121120062, V9P48V6121120057, V9P48V6121120066, V9P48V6121120055, V9P48V6121120088, V9P48V6121120056, V9P48V6121120065, V9P48V6121120079, V9P48V6121120090, V9P48V6121120060, V9P48V6121120073, V9P48V6121120098, V9P48V6121120090, V9P48V6121120060, V9P48V6121120072, V9P48V6121120054, V9P48V6121120053, V9P48V6121120083, pre order, TBA, V9P48V612201104, V9P48V612201098, V9P48V612201109, V9P48V612201093, V9P48V612201095, V9P48V612201091, V9P48V612201105, V9P48V612201106, V9P48V612201117, 10, 9, 8, 7, V9P48V6121120064, TBA, V9P48V6121120051, V9P48V6121120092, V9P48V6121120093, V9P48V6121120081, V9P48V6121120085, V9P48V6121120075, V9P48V612202065, V9P48V612202081, V9P48V612202070, V9P48V612202069, V9P48V6121100086, TBA, V9P48V6121120100, V9P48V612201102, V9P48V6121120091, V9P48V612201119, V9P48V612202079, V9P48V612201115, V9P48V6122087, V9P48V612201079, V9P48V612202075, V9P48V612202077, V9P48V612202063, V9P48V612202068, V9P48V612202072, V9P48V612202064, V9P48V612202090, V9P48V6121120069, V9P48V612201118, V9P48V612202074, V9P48V612202078, V9P48V612201111, V9P48V612202061, V9P48V612201110, V9p48V612202083, TBA, RIDE10, V9P48V612202061, V9P48V612202066, V9P48V612202085, V9P48V612202085, V9p48V612202066, V9P48V612202062, V9P48V612202080, TBA, V9P48V612201120, TBA",80641CCF,VSETT,Ningbo Vsett,131,"$255,621.21","$232,382.91","$5,725.81",$0.00,$0.00,"$223,574.81","$8,808.11",3.79
"ZERO TYRE 8 Inch Series / 8.5 x 2.5"" Road Tyre","ZER-TYRE-8""-2.5-ROAD",,F51D1541,Zero,Falcon PEV Pte Ltd,125,"$2,979.39","$2,708.55",$99.84,$0.00,$0.00,"$1,993.50",$715.05,26.4
VSETT 9/9+ Pneumatic tyre,VS-9/9+-PNU-TYRE,,E24CADC8,VSETT,Ningbo Vsett,115,"$2,924.27","$2,658.43",$172.83,$0.00,$21.01,"$2,365.75",$292.68,11.01
Smartmotion XCity 27.5 250W 36V / Camo,SMB-XCITY-27.5-CAMO,"SMWX2000198, SMWX2000022, SMWX2000271, SMWX2000002, SMWX200064, SMWX2000178, SMWX2000122, SMWX2000133, SMWX200205, SMWX2008478, SMWX2000218, SMWX2000205, XCITYCAMO27.5, SMWX2000049, SMWX2000097, SMWX2000160, SMWX200076, SMWX2000269, SMWX2000359, xcity, xcity1, SMWX2000176, SMWX2000210, SMWX2000136, SMWX2000280, SMWX2000303, SMWX2000266, SMWX2000369, SMWX2000010, JANUARY 2, JANUARY, DECEMBER 3, DECEMBER 2, DECEMBER, SMWX2000435, SMWX2000369, SMWX2000369, SMWX2000425, SMWX2000576, SMWX2000437, SMWX2000448, SMWX2000513, SMWX2000507, SMWX2000324, SMWX2000516, SMWX2000564, SMWX2000262, SMWX2000401, SMWX2000543, SMWX2000299, SMWX2000309, SMWX2000329, SMWX2000321, SMWX2000230, SMWX2000457, SMWX2000538, SMWX2000317, SMWX2000350, SMWX2000383, SN-, 1, 2, 3, SMWX2000417, SMWX2000411, SMWX2000554, SMWX2000533, THROTTLE TO BE ADDED, SMWX2000578, SMWX208032, CAMO, SMWX, SMWX2000442, SMWX2000520, SMWX2000554, SMWX2000440, SMWX2000377, SMWX2000339, SMWX2000392, SMWX2000566, SMWX2000332, SMWX2000467, SMWX2000243, SMWX2000559, SMWX2000524, SMWX2000439, SMWX2000396, SMWX2000380, SMWX2000398, SMWX2000405, SMWX2000349, SMWX2000568, SMWX2000460, SMWX2000492, SMWX2000451, SMWX2000471, SMWX2000356, SMWX2000337, SMWX2000407, SMWX2000450, SMWX2000348, SMWX2000308, SMWX2000432, SMWX2000334, SMWX200224, SMWX2080409, SMWX2000503, SMWX2000360, SMWX2000091, SMWX2000252, SMWX2000304, SMWX2000354, SMWX2000570, SMWX2000426, SMWX2000305",ABEFDB42,,,113,"$267,196.17","$243,796.52","$19,103.83",$0.00,$0.00,"$188,837.92","$54,958.60",22.54
ZERO Brake Pad Set / NUTT FINNED,ZER-BRK-PAD-NUTT FINNED,,4A822E25,Zero,Falcon PEV Pte Ltd,111,"$2,479.65","$2,254.23",$32.87,$0.00,$0.00,"$1,603.15",$651.08,28.88
ZERO Charging Port,ZERO-CHA-PORT,,8A7C8E5B,,Falcon PEV Pte Ltd,107,"$1,708.07","$1,552.79",$7.98,$0.00,$0.00,$957.89,$594.90,38.31
VSETT 8 Electric Scooter / 48V 19.2 LG,VSETT-8-19.2-LG,"Vsett 8, V8S48V6121070090, V8S48V6121070070, V8S48V6121070080, V8S48V6121070086, V8S48V6121070052, V8S48V6121070094, V8S48V6121070063, V8S48V6121070068, V8S48V6121070072, V8S48V6121070081, V8S48V6121070077, V8S48V6121070055, V8S48V6121070095, V8S48V6121070073, V8S48V6121070099, V8S48V6121070088, V8S48V6121070092, V8S48V6121070069, V8S48V6121070032, V8S48V6121070082, V8S48V6121070061, V8S48V6121070093, V8S48V6121070058, V8S48V6121070054, V8S48V6121070083, V8S48V6121070096, V8S48V6121070084, V8S48V6121070074, V8S48V6121070060, V8S48V6121070080, V8S48V6121070086, V8S48V6121070066, V8S48V61321030044, V8S48V6121070064, V8S48V6121030038, V8S48V6121030042, V8S48V6121030030, V8S48V6121030033, V8S48V6121030026, V8S48V6121030027, V8S48V6121030035, V8S48V6121030040, V8S48V6121030036, V8S48V6121030043, V8S48V6121030045, V8S48V6121070084, V8S48V612103070089, V8S48V6121070059, V8S48V6121030037, V8S48V6121030034, V8S48V6121030029, V8S48V6121070097, V8S48V6121070057, V8S48V6121070071, V8S48V6121070053, V8S48V6121070051, V8S48V6121030041, V8S48V6121030028, V8S48V6121030039, V8S48V6121030032, V8S48V6121030031, V8S48V6121070079, V8S48V6121070078, V8S48V6121070062, v8s48v6121070100, V8S48V6121070091, V8S48V6121070067, V8S48V6121070065, V8S48V6121070076, V8S48V61211030044, V8S48V6121070087, V8S48V4721120024, V8S48V4721120026, V8S48V4721120020, V8S48V612202022, V8S48V612202030, V8S48V612202028, V8S48V612202029, V8S48V612202021, V8S48V612202025, V8S48V4721120023, V8S48V4721120029, V8S48V612202024, V8S48V612202027, V8S48V4721120030, V8S48V4721120027, V8S48V612205119, V8S48V612205102, V8S48V612205126, V8S48V612205111, V8S48V612205104, V8S48V612205107, V8S48V612205122, V8S48V612205137, V8S48V612205108, V8S48V612205106, V8S48V612205117, V8S48V612205134, V8S48V612205120, V8S48V612205116, V8S48V612205147, V8S48V612205121, V8S48V612205113, V8S48V612205123, V8S48V612202026",2D6C8FFD,VSETT,Ningbo Vsett,106,"$140,831.67","$128,028.79","$1,285.83",$0.00,$0.00,"$93,130.28","$34,898.51",27.26
ZERO Throttle LCD / ZERO Throttle LCD,ZER-THR-LCD,,DDB7D269,Zero,Falcon PEV Pte Ltd,104,"$6,096.31","$5,542.08",$696.40,$0.00,$0.00,"$4,100.10","$1,441.98",26.02
Zero Chargers / 54.6V,ZER-CHGR-54.6V,,20FCCE00,Zero,Falcon PEV Pte Ltd,100,"$4,314.00","$3,921.82",$899.00,$0.00,$0.00,"$2,802.00","$1,119.82",28.55
"ZERO TYRE 10 Inch Series / 10 x 3"" Urban Wide","ZER-TYRE-10""-3""-URB-WIDE",,4D8C38EE,Zero,Falcon PEV Pte Ltd,100,"$2,652.00","$2,410.91",$186.50,$0.00,$0.00,"$2,074.80",$336.11,13.94
Smartmotion E20 Step Thru / White,SMB-E20-ST-WH,"SME20210456, SME20210385, white, SME20210468, SME20210350, SME20210044, SME20210506, SME20210463, SME20210039, SME20208237, SME20208115, SM202008106, SME202008583, SME20210389, SME20210021, SN, SME20210489, SME20210510, SME20210199, SME20210033, JANUARY 5, JANUARY 3, JANUARY 2, JANUARY, DECEMBER 5, DECEMBER 4, DECEMBER 3, DECEMBER 2, DECEMBER, SME20210466, SME20210381, SME20210184, SME20210613, SME20210530, SME2021050010, SME20210009, SME20210486, SME20210365, SME202008224, SME202008332, SME202008173, SME20210323, SME20210012, SME202008148, WHITE, SME20210372, SME20210588, SME20210007, SME20210038, 1, SME20210207, SME20210384, SME20210452, SME20210447, SME20210492, SME20210363, SME20210509, SME202008348, SME20210060, SME20210272, SME202111058, SME20210485, SME20210428, SME20210057, SME20210018, SME20210408, SME202008339, SME202008328, SME20210234, SME20210179, SME20210036, SME20210420, SME20210448, SME20210359, SME20210443, SME20210415, SME20210098, SME20210147, SME20210417, SME202008288, SME20210014, SME20210667, SME20210374, G5SN210374, SME20210553, SME20210387, SME20210020, SME20210400, SME20210028, SME20210379, SME2021069, SME20210128, SME20210120, SME20210050, SME202008378, SME20210419, SME20210396, SME20210298, SME20210040, SME202008108",D96B401B,Smartmotion,"Kunshan Cyclisport Co., Ltd",100,"$153,756.82","$139,778.93","$14,799.48",$0.00,$0.00,"$107,996.52","$31,782.41",22.74
"ZERO Inner Tubes E-Scooters / 8 x 2.5"" Straight Valve",ZER-INNER-TUBE-8x2.5-STR,,0A5A50FA,Zero,Falcon PEV Pte Ltd,99,"$1,682.03","$1,529.11",$5.99,$0.00,$0.00,$979.38,$549.73,35.95
VSETT 10+ Electric Scooter / 60V 28 LG,VSETT-10+-28-LG,"V10P60V6121030059, V10P60V6121030059, V10P60V6121030059, PRE ORDER 1, V10P60V6121070103, V10P60V6121070102, V10P60V6121070101, V10+preorder28ah, V10P60V612103051, pre order, V10P60V6121030055, tba, pre order, preorder, V10P60V6121100182, V10P60V6121100155, V10P60V6121100147, V10P60V6121100153, V10P60V6121100148, V10P60V6121100158, V10P60V6121100161, V10P60V6121100173, V10P60V61211000166, V10P60V6121100149, V10P60V6121100176, V10P60V6121100157, V10P60V6121100179, V10P60V6121100175, V10P60V6121100171, V10P60V6121100177, V10P60V6121100180, V10P60V6121100181, V10P60V6121100185, V10P60V6121100174, V10P60V6121100172, V10P60V6121100184, V10P60V6121100183, V10P60V6121100178, V10P60V6121100162, V10P60V6121100156, V10P60V6121100164, V10P60V6121100160, V10P60V6121100152, V10P60V6121100159, V10P60V6121100165, V10P60V61211100163, V10P60V6121100151, V10P60V6121100150, V10P60V6121100169, V10P60V6121100154, V10P60V6121120127, V10P60V6121120117, V10P60V6121120125, V10P60V6121120129, V10P60V6121120132, V10P60V6121120118, V10P60V6121100170, TBA, TBA, V10P60V612201076, V10P60V612201086, V10P60V612201071, V10P60V612201085, V10P60V612201085, V10P60V6121120165, V10P60V6121120136, tba, V10P60V612110147, V10P60V612110171, TBA, V10P60V6121120157, V10P60V6121120158, V10P60V6121120111, V10P60V6121120134, V10P60V6121120145, V10P60V6121120138, TBA, TBA1, V10P60V6121120119, V10P60V6121120116, V10P60V6121120113, V10P60V6121120149, V10P60V6121120121, V10P60V6121120160, V10P60V6121120155, V10P60V6121120172, V10P60V6121120124, V10P60V6121120131, V10P60V6121120126, V10P60V612201074, V10P60V6121120115, TBA, V10P60V612201075, V10P60V6121120111, V10P60V612201079, V10P60V6121120114, V10P60V6121120143, V10P60V612201056",BC3F446C,VSETT,Ningbo Vsett,96,"$337,224.87","$306,568.07","$6,948.63",$0.00,$0.00,"$277,475.30","$29,092.77",9.49
"ZERO TYRE 10 Inch Series / 10 x 3"" Road","ZER-TYRE-10""-3"" ROAD",,76EEA120,,,96,"$2,230.61","$2,027.83",$105.79,$0.00,$0.00,"$1,636.92",$390.91,19.28
ZERO 10X Electric Scooter / 52V 18AH,ZERO-10X-52V18,"F10X518210519006, F10X518210519018, F10X518210516004, F10X5182105190111, F10X518210519029, F10X518210519024, PRE ORDER, F10X518210519014, F10X518210805001, F10X518210805016, F10X518210805049, F10X518210805041, F10X518210805027, F10X518210805034, F10X518210805045, F10X518210805039, F10X518210805006, F10X518210805047, F10X518210805041, F10X518210805042, F10X518210805023, F10X518210805038, F10X518210805040, F10X518210805043, F10X5218210805036, F10X5218210805050, F10X5218210805009, F10X5218210805046, F10X51821080502+9, F10X518210805017, F10X518210805011, F10X518210805019, F10X518210805015, F10X518210805021, F10X518210805020, F10X518210805037, SN, shopify, F10X518210805035, F10X518210805025, F10X518210805014, F10X518210805028, F10X518210805012, F10X518210805008, F10X518210805033, F10X518210805031, F10X518210805044, F10X518210805032, F10X518210805005, F10X518210805017, preorder, F10X518210805020, F10X51821080522, F10X518211022020, F10X518210805011, F10X5182212019, F10X5182212033, F10X5182212006, F10X5182211027, F10X518211022018, F10X518211022030, F10X518211022023, F10X518211022016, F10X518211022014, F10X518211022003, F10X518211022028, F10X518211022015, F10X518211022002, F10X518211022013, F10X518211022024, F10X518211022029, F10X518211022012, F10X518211022025, F10X518211022007, F10X518211022039, F10X518211022038, F10X518211022011, F10X518211022005, F10X518211022010, F10X518211022040, F10X518211022037, F10X518211022017, 1, F10X518211022032, F10X518211022022, F10X518211022032, F10X518211022026, F10X518211022020, F10X518211022034, TBA2, F10X518211022022, F10X5218211215044, F10X518211022031",C7BA4808,Zero,Falcon PEV Pte Ltd,94,"$178,275.97","$162,069.07","$3,148.28",$0.00,$0.00,"$120,318.36","$41,750.71",25.76
